P1,P2,P3,P4,P5,WeekDay,Time,lvl-Against,Map,Result
1,2,5,6,7,6,23,12.6,1,1
1,2,5,6,7,6,0,13.8,3,1
1,2,5,6,7,6,0,14,2,0
1,2,5,6,0,6,1,12.6,4,1
1,2,5,6,0,6,2,12.8,1,0
1,2,5,6,7,7,23,13.2,3,1
1,2,5,6,7,7,0,13,1,1
1,2,5,6,7,7,1,14.4,2,1
1,2,5,6,7,1,21,13.8,2,1
1,2,5,6,7,1,22,15,3,0
0,1,2,3,5,1,23,14.6,1,1
1,2,3,5,6,1,0,15.8,3,0
0,1,2,3,6,1,0,16.6,2,1
0,0,1,2,5,3,20,14.8,2,1
0,1,2,5,6,3,21,14.4,4,1
0,1,2,5,6,3,23,14.6,1,0
0,0,1,2,6,3,0,14,2,0
0,0,1,2,5,4,21,14.4,1,0
0,1,2,5,6,4,23,15,2,0
